cluster_key,village_name,village_code,ward_name,ward_code
278,Rarieda,291,Sidindi,174
343,Nyahera,423,Sidindi,174
343,Ombonya,422,Sidindi,174
343,Siriwo,293,Sidindi,174
447,Mucheche,437,Sidindi,174
447,Nyagera,292,Sidindi,174
447,Olumadede,439,Sidindi,174
447,Sagaya,438,Sidindi,174
103,Lala,342,Sigomere,175
103,Luru A,344,Sigomere,175
103,Luru B,295,Sigomere,175
103,Mukhwayo,343,Sigomere,175
210,Got Osimbo,294,Sigomere,175
210,Hathala,387,Sigomere,175
67,Got ogwang A,333,South Gem,167
67,Got ogwang B1,334,South Gem,167
67,Got ogwang B2,258,South Gem,167
67,Got ogwang C,332,South Gem,167
254,Rera,259,South Gem,167
287,Kobeto,260,South Gem,167
287,Ojwach,261,South Gem,167
408,Kasagoma A,433,South Gem,167
408,Kasagoma B,431,South Gem,167
408,Kasagoma C,432,South Gem,167
408,Kotiang A,262,South Gem,167
921,Lukala A,539,South Kabras,142
921,Lukala B,541,South Kabras,142
921,Lukala C,196,South Kabras,142
921,Shisisini,540,South Kabras,142
929,Ikhanyi,543,South Kabras,142
929,Luasi,542,South Kabras,142
929,Lusumu,197,South Kabras,142
951,Mukangu B,546,South Kabras,142
951,shanda A,198,South Kabras,142
951,Shanda B,547,South Kabras,142
951,Shikulu A,544,South Kabras,142
951,Shikulu B,545,South Kabras,142
954,Shamoni A,195,South Kabras,142
954,Shamoni B,550,South Kabras,142
954,Shanda A,548,South Kabras,142
954,Shanda B,549,South Kabras,142
70,Mundindi,298,Ugunja,176
70,Nyamasare  A,335,Ugunja,176
70,Nyamasare B,299,Ugunja,176
164,Asere  A,368,Ugunja,176
164,Ulawe A,370,Ugunja,176
164,Ulawe B,369,Ugunja,176
164,Umala lower,300,Ugunja,176
164,Umala Upper,371,Ugunja,176
449,Iseme,296,Ugunja,176
449,Lirego,442,Ugunja,176
449,Masende,441,Ugunja,176
449,Uluthe,297,Ugunja,176
449,Uriya,440,Ugunja,176
422,Kasideg,282,Ukwala,172
422,Kisoma,434,Ukwala,172
422,Nyandheho,435,Ukwala,172
422,Uranga,283,Ukwala,172
149,Kachieng,265,West Gem,168
149,Kamusau lower,266,West Gem,168
149,Kamusau upper,367,West Gem,168
431,Kamatindo A,436,West Gem,168
431,Kamatindo B,263,West Gem,168
431,Kawiri,264,West Gem,168
51,Nyandwira,320,West Ugenya,173
51,Ralak,321,West Ugenya,173
51,Umine,289,West Ugenya,173
81,Lowo Ratieng,339,West Ugenya,173
81,Marenyo A,286,West Ugenya,173
81,Marenyo B,337,West Ugenya,173
81,Masawa,338,West Ugenya,173
81,Nandi,336,West Ugenya,173
98,Milambo,284,West Ugenya,173
98,Sulo,341,West Ugenya,173
98,Ujumba,340,West Ugenya,173
98,Ung'anya,285,West Ugenya,173
112,Magombe A,287,West Ugenya,173
112,Usudia,288,West Ugenya,173
255,Anyiko A,406,Yala Township,169
255,Anyiko B,407,Yala Township,169
255,Sarika A,267,Yala Township,169
255,Sarika B,408,Yala Township,169
