county_name,county_code,constituency_name,constituency_code,ward_name,ward_code,pot_school,cluster.id,lat.pot,lon.pot,anchor_school,anchor_ward,lat.anchor,lon.anchor,max_lat,max_lon,min_lat,min_lon,treat
Kakamega,2,Lurambi,9,Shirere,38,Rush Academy,691,0.271133,34.717818,Kakamega Urban,Butsotso Central,0.280075,34.706848,0.3799256856,34.34022432,0.3618343142,34.32225565,2
Kakamega,2,Shinyalu,15,Isukha East,63,Friends Vikoshe Primary,715,0.259163,34.935927,Chirobani Primary,Isukha East,0.265532,34.924237,0.2209413601,34.5867232,0.2028519732,34.56875676,3
Kakamega,2,Shinyalu,15,Isukha East,63,Singila,718,0.248482,34.96318,Singila,Isukha East,0.248482,34.96318,0.2433347441,34.57502327,0.2252452558,34.5570567,3
Kakamega,2,Shinyalu,15,Isukha North,64,Goodwill Academy Lubao,729,0.329957,34.814492,St Anne Lubao,Isukha North,0.335032,34.817968,0.1903784062,34.49758023,0.1722882603,34.47961307,3
Kakamega,2,Shinyalu,15,Isukha East,63,Lukusi,735,0.345092,34.922187,Lukusi,Isukha East,0.345092,34.922187,0.1992382314,34.53930839,0.1811484351,34.52134157,3
Kakamega,2,Shinyalu,15,Isukha East,63,Mukhuyu Pefa,737,0.28894,34.953342,Lunyu Primary,Isukha East,0.290342,34.94273,0.2595617,34.50693356,0.2414716333,34.4889664,3
Kakamega,2,Shinyalu,15,Isukha North,64,Victory Academy Ileho,738,0.372758,34.909937,Magale Primary,Isukha North,0.388207,34.90907,0.1696502178,34.4621337,0.1515597821,34.44416627,3
Kakamega,2,Shinyalu,15,Isukha South,65,Kwirenyi,779,0.190195,34.83575,Kwirenyi,Isukha South,0.190195,34.83575,0.2647062501,34.61149979,0.2466170831,34.59353351,3
Kakamega,2,Shinyalu,15,Isukha Central,62,Isecheno Primary,781,0.230975,34.859562,Isecheno Primary,Isukha Central,0.230975,34.859562,0.4164956192,34.35786429,0.3984043806,34.33989568,3
Kakamega,2,Shinyalu,15,Isukha Central,62,Brother Richard Davidson Academy,789,0.224935,34.815975,Lugala Primary,Isukha Central,0.229865,34.815828,0.237639943,34.52859013,0.2195500569,34.51062317,3
Kakamega,2,Shinyalu,15,Murhanda,66,Shamiloli Primary,796,0.272575,34.843935,Navangala Primary,Murhanda,0.275693,34.835817,0.4036457862,34.31256444,0.3855542136,34.29459552,3
Kakamega,2,Shinyalu,15,Isukha South,65,Shidodo Primary,798,0.231003,34.775292,St Augustine Mukumu Boys Primary,Isukha South,0.224743,34.761562,0.2905777634,34.64553132,0.272488903,34.62756531,3
Kakamega,2,Shinyalu,15,Murhanda,66,St Gerald Injira Primary,800,0.26542,34.794232,St Gerald Injira Primary,Murhanda,0.26542,34.794232,0.1843478236,34.63254131,0.1662588429,34.61457531,3
Kakamega,2,Shinyalu,15,Isukha South,65,St Peters Shirulu,807,0.187993,34.787917,Irobo,Isukha South,0.19139,34.7768,0.3308753865,34.79498731,0.3127879468,34.77702264,3
Kakamega,2,Malava,10,Butali/Chegulo,39,Joyspring Academy Matsakha,830,0.531983,34.812957,St Martins,Butali/Chegulo,0.52015,34.81817,0.511856362,34.14137515,0.4937636378,34.12340482,2
Kakamega,2,Malava,10,Butali/Chegulo,39,Mahusi Primary,834,0.481078,34.805922,Chegulo,Shirugu-Mugai,0.490802,34.790777,0.1991656926,34.33910418,0.1810743073,34.32113578,2
Kakamega,2,Malava,10,Butali/Chegulo,39,Star Academy Kabras Central,835,0.484387,34.836853,Tande Primary School,Butali/Chegulo,0.482188,34.848077,0.2728117421,34.32536528,0.2547202578,34.30739669,2
Kakamega,2,Malava,10,East Kabras,41,Kuvasali,844,0.417652,34.939352,Lukhokho,Chemuche,0.432308,34.941182,0.3471151254,34.21549472,0.3290228744,34.19752525,2
Kakamega,2,Malava,10,Chemuche,40,Kimangeti Primary,853,0.43182,34.910062,Isikhu,East Kabras,0.424408,34.896878,0.03326502628,34.50905947,0.01517497371,34.49109249,2
Kakamega,2,Malava,10,Chemuche,40,Notredem,868,0.444865,34.865668,Jilca,Chemuche,0.432247,34.876943,0.5155457223,34.32931452,0.4974542774,34.31134545,2
Kakamega,2,Malava,10,East Kabras,41,Soi Academy,870,0.386928,34.954905,Mukhuyu,East Kabras,0.373448,34.949505,0.6229755274,34.38058449,0.6048844723,34.36261547,2
Kakamega,2,Malava,10,Chemuche,40,Munyanya,882,0.463803,34.896437,Munyanya,Chemuche,0.463803,34.896437,0.7153534349,34.40379557,0.6972625647,34.3858264,2
Kakamega,2,Malava,10,Manda-Shivanga,42,Gracious Academy Kabras North,892,0.573298,34.862057,Manda K Primary,Manda-Shivanga,0.573137,34.864437,0.3317646152,34.3593972,0.3136733847,34.34142877,2
Kakamega,2,Malava,10,Manda-Shivanga,42,Center Academy,910,0.494558,34.893773,Fubuye Primary,Manda-Shivanga,0.498082,34.888718,-0.02162655171,34.40399589,-0.03971744828,34.38602807,2
Kakamega,2,Malava,10,South Kabras,44,Ingwe Primary,921,0.396367,34.76765,Ingwe Primary,South Kabras,0.396367,34.76765,0.2859959563,34.2652945,0.2679040436,34.24732547,2
Kakamega,2,Malava,10,South Kabras,44,Lusumu K Primary,929,0.42115,34.800695,Lusumu K Primary,South Kabras,0.42115,34.800695,0.06514316625,34.47502761,0.04705283372,34.45706035,2
Kakamega,2,Malava,10,South Kabras,44,St Gerald,951,0.375618,34.84138,Shanda,East Kabras,0.379715,34.859237,0.2819430665,34.23330361,0.2638509334,34.21533436,2
Kakamega,2,Malava,10,South Kabras,44,Ingavira Primary,954,0.3865,34.817392,Shamoni Primary,South Kabras,0.384273,34.800467,0.130694868,34.54652333,0.112605132,34.52855663,2
Kakamega,2,Malava,10,Shirugu-Mugai,43,Chombeli Ecd,979,0.456695,34.751772,Chombeli Ecd,Shirugu-Mugai,0.456695,34.751772,0.006475266563,34.45018371,-0.01161526656,34.43221625,2
Kakamega,2,Ikolomani,6,Idakho Central,26,Shirumba Primary,1008,0.18761,34.724028,Musingu F Ecde,Idakho East,0.199183,34.739398,0.3980747681,34.74386753,0.3799868317,34.72590223,2
Kakamega,2,Ikolomani,6,Idakho North,27,Mukangu Primary,1014,0.233565,34.696033,Shikhombelo Primary,Idakho North,0.233115,34.706583,0.4708915707,34.24498299,0.4527995251,34.22701344,2
Kakamega,2,Ikolomani,6,Idakho Central,26,The Imani Springs,1026,0.20215,34.664268,Burendwa Primary,Idakho Central,0.201982,34.670975,0.409572793,34.65198699,0.391483996,34.63402082,2
Kakamega,2,Ikolomani,6,Idakho South,28,Shanjetso Primary,1055,0.153218,34.732148,Kasavayi,Idakho East,0.15198,34.739052,0.444475206,34.71475322,0.4263869938,34.69678754,2
Kakamega,2,Khwisero,7,Kisa East,30,Misango View Preparatory,1059,0.154455,34.663943,Emulunya Primary,Kisa East,0.14489,34.655345,0.3764241233,34.69127247,0.3583356873,34.67330673,2
Kakamega,2,Khwisero,7,Kisa East,30,St Paul 'S Buhili,1072,0.151552,34.601215,Mushikongolo,Kisa East,0.145213,34.60494,0.6923056685,34.34230176,0.6742143311,34.32433221,2
Kakamega,2,Khwisero,7,Kisa West,32,Ikomero Primary,1093,0.150963,34.50254,Manyulia,Kisa West,0.162473,34.514127,0.1887360237,34.24617451,0.1706439762,34.22820546,2
Siaya,3,Gem,16,Central Gem,67,Shisia Academy,1094,0.106047,34.490013,UYONGA PRIMARY,Central Gem,0.09533,34.47796,-0.06237363939,34.42643981,-0.08046436057,34.40847215,3
Kakamega,2,Khwisero,7,Kisa Central,29,Mushiangubu,1101,0.125052,34.570338,Mushiangubu,Kisa Central,0.125052,34.570338,0.4488916062,34.66028047,0.4308028868,34.64231428,2
Kakamega,2,Khwisero,7,Kisa Central,29,Shiongo Primary,1120,0.173417,34.56877,Ebukwala Primary,Kisa Central,0.156165,34.56357,0.3395768903,34.69895532,0.3214885247,34.68098972,2
Kakamega,2,Lugari,8,Chevaywa,33,Chepusai Primary,1147,0.56123,34.782257,Chepusai Primary,Chevaywa,0.56123,34.782257,0.5400864128,34.39867074,0.5219954909,34.38070212,2
Kakamega,2,Malava,10,Butali/Chegulo,39,Philip Academy Nambilima,1152,0.517103,34.76409,Namushiya Primary,Butali/Chegulo,0.512593,34.777798,0.574056365,34.13981525,0.5559636347,34.12184472,2
Kakamega,2,Malava,10,Manda-Shivanga,42,Chimoi Mhm Primary,1163,0.57759,34.820298,Chimoi Mhm Primary,Manda-Shivanga,0.57759,34.820298,0.5766079558,34.37008371,0.5585168179,34.35211476,2
Kakamega,2,Lugari,8,Lwandeti,34,Makina Primary,1167,0.609225,34.87753,Baharini Primary,Lwandeti,0.608608,34.888672,0.7421626584,34.34451085,0.7240713412,34.32654112,2
Kakamega,2,Matungu,11,Mayoni,48,Munanga,1201,0.354687,34.464357,Mwira,Mayoni,0.363985,34.450368,0.1920154863,34.39389997,0.1739245136,34.37593199,3
Kakamega,2,Matungu,11,Namamali,49,Namamali Muslim Primary,1216,0.430175,34.446335,Kadima Ack Primary School,Namamali,0.443188,34.45748,0.06902232974,34.43426978,0.05093167023,34.41630219,3
Kakamega,2,Matungu,11,Kholera,46,Mukhweya,1219,0.460722,34.489157,St. Raphael Namalenge,Kholera,0.468647,34.475405,0.7629144486,34.39974268,0.744823551,34.38177329,2
Kakamega,2,Matungu,11,Namamali,49,Suwo Primary,1234,0.449805,34.388228,Namberekeya Primary,Namamali,0.446513,34.38134,0.05727489414,34.54046334,0.03918510583,34.52249662,3
Kakamega,2,Matungu,11,Koyonzo,47,Ikulumwoyo Primary,1236,0.409535,34.43541,All Saints Sayangwe,Koyonzo,0.392158,34.444685,0.4640540276,34.31257957,0.4459624581,34.29461051,3
Kakamega,2,Matungu,11,Mayoni,48,St Mathias Kholera Primary,1242,0.414968,34.47303,St Mathias Kholera Primary,Mayoni,0.414968,34.47303,0.3652250239,34.24532564,0.3471329759,34.22735633,3
Kakamega,2,Matungu,11,Kholera,46,St Magdalene Academy,1244,0.435725,34.513247,Teddy Junior,Kholera,0.43663,34.515267,0.1149445325,34.38197899,0.09685346742,34.36401098,2
Kakamega,2,Matungu,11,Koyonzo,47,St Margarets Memorial,1245,0.346033,34.407922,Eshirumbwe Primary School,Koyonzo,0.337152,34.405167,0.6035261601,34.20302509,0.5854338395,34.18505488,3
Kakamega,2,Matungu,11,Koyonzo,47,Eshikhondi,1247,0.400567,34.39656,Emuberi Primary Matungu,Koyonzo,0.413548,34.400233,0.6682654344,34.40439448,0.6501745653,34.38642549,2
Kakamega,2,Matungu,11,Khalaba,45,Mentor Brainer,1254,0.418097,34.573842,Busombi Muslim Primary,Khalaba,0.412952,34.559367,0.1619346952,34.33850217,0.1438433047,34.3205338,2
Kakamega,2,Matungu,11,Khalaba,45,St Emmanuel Lutasio,1261,0.455523,34.550213,Namamba Lynsi Academy,Khalaba,0.444155,34.557617,-0.00505503684,34.52415341,-0.02314496315,34.50618656,2
Kakamega,2,Mumias East,12,Malaha/Isongo/Makunga,52,Muroni,1272,0.359568,34.619725,Malaha Glory Academy,Malaha/Isongo/Makunga,0.363628,34.623993,0.07850445974,34.40100091,0.06041354022,34.38303306,3
Kakamega,2,Mumias East,12,East Wanga,50,Ebungale Primary,1289,0.34556,34.553515,Ebungale Primary,East Wanga,0.34556,34.553515,-0.03183475206,34.45482369,-0.04992524792,34.43685627,3
Kakamega,2,Mumias East,12,East Wanga,50,Bumini Primary,1293,0.332485,34.590218,Petros Primary School,East Wanga,0.341308,34.598325,0.7571562976,34.43839152,0.739065702,34.42042245,3
Kakamega,2,Mumias East,12,Lusheya/Lubinu,51,Clever Bee Academy,1304,0.317395,34.570382,Lubinu Primary,Lusheya/Lubinu,0.312105,34.558547,0.5585258632,34.28991472,0.5404341365,34.27194525,3
Kakamega,2,Mumias West,13,Mumias Central,54,Shibale Primary,1313,0.362663,34.484875,Mayoni Township,Mayoni,0.378097,34.489257,0.2370117411,34.32578125,0.2189202588,34.30781271,3
Kakamega,2,Mumias West,13,Mumias Central,54,Fields Of Life Education Centre,1323,0.333568,34.499317,Nyakwaka Muslim Primary,Lusheya/Lubinu,0.325348,34.503862,0.2034583307,34.43377683,0.1853676692,34.41580914,3
Kakamega,2,Mumias West,13,Etenje,53,Nyapeta Primary,1347,0.282532,34.426418,Iyabo Primary,Etenje,0.276867,34.413123,0.3140347504,34.32289432,0.2959432494,34.30492565,3
Kakamega,2,Mumias West,13,Musanda,56,Holy Eden Academy,1355,0.261357,34.447938,Eshikalame Primary,Musanda,0.256883,34.463807,0.37783554,34.37907417,0.3597444598,34.3611058,3
Kakamega,2,Mumias West,13,Musanda,55,Eshihaka P School,1370,0.215398,34.465132,Ahonginjo Primary,Musanda,0.227187,34.463735,0.5095215106,34.27693322,0.4914296891,34.25896379,3
Kakamega,2,Navakholo,14,Bunyala West,59,Mukama Primary,1389,0.438592,34.609113,Sisokhe Primary,Bunyala West,0.431291,34.612842,0.6488858467,34.29369486,0.6307941529,34.27572511,3
Kakamega,2,Mumias East,12,East Wanga,50,Namundera,1393,0.384011,34.591122,Namundera,East Wanga,0.384011,34.591122,0.2033441961,34.19484469,0.1852518038,34.17687528,3
Kakamega,2,Navakholo,14,Ingostse-Mathia,60,St Pauls Emulakha,1402,0.372876,34.733246,Namirama Arise And Shine Academy,Bunyala Central,0.389031,34.734885,0.3020830962,34.22441466,0.2839909036,34.20644531,3
Kakamega,2,Navakholo,14,Bunyala West,59,Kisembe Primary,1406,0.400528,34.643004,Kisembe Primary,Bunyala West,0.400528,34.643004,0.4770964144,34.12488516,0.4590035854,34.10691481,3
Kakamega,2,Navakholo,14,Bunyala East,58,New Life Lutaso,1426,0.435431,34.70577,New Life Lutaso,Bunyala East,0.435431,34.70577,0.1592704432,34.40514592,0.1411795567,34.38717805,3
